file	transplantNum	leaf	petioleLength	bladeLength	bladeWidth	bladeArea	bladePerimeter	bladeCircularity
scan-44_plant-623.tiff (blue)	623	1	0.204	0.205	0.171	0.027	0.760	0.597
scan-44_plant-623.tiff (blue)	623	2	0.173	0.200	0.194	0.030	0.790	0.612
scan-44_plant-623.tiff (blue)	623	3	0.230	0.347	0.240	0.065	1.147	0.625
scan-44_plant-623.tiff (blue)	623	4	0.256	0.403	0.273	0.086	1.390	0.562
scan-44_plant-623.tiff (blue)	623	5	0.454	0.473	0.413	0.154	1.867	0.554
scan-44_plant-623.tiff (blue)	623	6	0.606	0.666	0.500	0.262	2.627	0.476
scan-44_plant-623.tiff (blue)	623	7	0.666	0.853	0.480	0.322	2.727	0.544
scan-44_plant-623.tiff (blue)	623	8	0.548	1.177	0.433	0.401	3.363	0.445
scan-44_plant-623.tiff (blue)	623	9	0.555	1.155	0.422	0.383	3.390	0.418
scan-44_plant-623.tiff (blue)	623	10	0.508	0.967	0.371	0.282	2.820	0.445

scan-45_plant-645.tiff (blue)	645	1	0.185	0.216	0.189	0.032	0.810	0.612
scan-45_plant-645.tiff (blue)	645	2	0.153	0.157	0.135	0.017	0.710	0.415
scan-45_plant-645.tiff (blue)	645	3	0.408	0.573	0.368	0.166	1.950	0.548
scan-45_plant-645.tiff (blue)	645	4	0.346	0.560	0.360	0.159	1.963	0.517
scan-45_plant-645.tiff (blue)	645	5	0.523	0.786	0.432	0.267	2.540	0.519
scan-45_plant-645.tiff (blue)	645	6	0.435	0.783	0.368	0.226	2.360	0.511
scan-45_plant-645.tiff (blue)	645	8	0.522	0.755	0.432	0.256	2.480	0.523
scan-45_plant-645.tiff (blue)	645	9	0.359	0.692	0.391	0.213	2.287	0.511
scan-45_plant-645.tiff (blue)	645	10	0.472	0.732	0.377	0.217	2.420	0.465

scan-46_plant-660.tiff (blue)	660	1	0.204	0.238	0.231	0.043	0.957	0.593
scan-46_plant-660.tiff (blue)	660	2	0.178	0.252	0.240	0.047	1.007	0.589
scan-46_plant-660.tiff (blue)	660	3	0.320	0.343	0.272	0.073	1.267	0.575
scan-46_plant-660.tiff (blue)	660	4	0.281	0.401	0.336	0.106	1.480	0.608
scan-46_plant-660.tiff (blue)	660	5	0.409	0.481	0.372	0.140	1.780	0.557
scan-46_plant-660.tiff (blue)	660	6	0.626	0.678	0.583	0.311	2.647	0.557
scan-46_plant-660.tiff (blue)	660	7	0.638	0.780	0.422	0.258	2.457	0.538
scan-46_plant-660.tiff (blue)	660	8	0.808	0.931	0.539	0.394	3.010	0.547
scan-46_plant-660.tiff (blue)	660	9	0.915	1.089	0.660	0.564	3.640	0.535
scan-46_plant-660.tiff (blue)	660	10	0.857	1.141	0.589	0.527	3.647	0.498

scan-47_plant-661.tiff (blue)	661	1	0.231	0.291	0.245	0.056	1.123	0.557
scan-47_plant-661.tiff (blue)	661	2	0.276	0.261	0.243	0.050	1.033	0.587
scan-47_plant-661.tiff (blue)	661	3	0.481	0.557	0.508	0.222	2.177	0.590
scan-47_plant-661.tiff (blue)	661	4	0.480	0.440	0.422	0.146	1.783	0.576
scan-47_plant-661.tiff (blue)	661	5	0.791	0.887	0.577	0.402	3.013	0.556
scan-47_plant-661.tiff (blue)	661	6	0.781	0.976	0.597	0.458	3.287	0.533
scan-47_plant-661.tiff (blue)	661	7	0.923	1.126	0.705	0.624	3.790	0.546
scan-47_plant-661.tiff (blue)	661	8	0.956	1.141	0.655	0.587	3.803	0.510
scan-47_plant-661.tiff (blue)	661	9	0.791	1.046	0.678	0.557	3.610	0.537
scan-47_plant-661.tiff (blue)	661	10	0.904	1.080	0.619	0.525	3.553	0.523

scan-48_plant-679.tiff (blue)	679	1	0.277	0.297	0.223	0.052	1.180	0.470
scan-48_plant-679.tiff (blue)	679	2	0.269	0.274	0.251	0.054	1.073	0.590
scan-48_plant-679.tiff (blue)	679	3	0.427	0.530	0.420	0.174	1.977	0.561
scan-48_plant-679.tiff (blue)	679	4	0.608	0.609	0.422	0.202	2.133	0.557
scan-48_plant-679.tiff (blue)	679	5	0.609	0.755	0.496	0.294	2.593	0.550
scan-48_plant-679.tiff (blue)	679	6	0.786	1.099	0.469	0.405	3.243	0.484
scan-48_plant-679.tiff (blue)	679	7	0.726	0.877	0.497	0.342	2.833	0.536
scan-48_plant-679.tiff (blue)	679	8	0.796	0.939	0.438	0.323	2.880	0.489
scan-48_plant-679.tiff (blue)	679	9	0.798	0.931	0.489	0.358	3.033	0.489
scan-48_plant-679.tiff (blue)	679	10	0.719	0.987	0.483	0.374	3.140	0.477
